freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.523e+02,1.027e+02,4.226e+01,5.972e+02
1.6,2.691e+02,7.079e+01,6.359e+01,4.035e+02
3.2,3.233e+01,1.761e+01,5.248e+01,1.024e+02
4.8,4.350e+02,2.162e+01,4.999e+01,5.066e+02
6.4,1.386e+03,3.552e+01,4.857e+01,1.470e+03
8.0,2.303e+03,5.139e+01,5.129e+01,2.406e+03
9.6,3.493e+03,3.235e+01,5.383e+01,3.579e+03
11.2,4.917e+03,2.317e+01,5.232e+01,4.993e+03
12.8,5.479e+03,2.287e+01,6.441e+01,5.566e+03
14.4,6.268e+03,2.196e+01,7.393e+01,6.364e+03
16.0,8.006e+03,2.276e+01,7.732e+01,8.106e+03
17.5,1.032e+04,3.026e+01,7.832e+01,1.043e+04
19.1,1.317e+04,3.519e+01,7.392e+01,1.328e+04
20.7,1.682e+04,4.471e+01,7.782e+01,1.694e+04
22.3,2.199e+04,6.236e+01,8.356e+01,2.214e+04
23.9,2.698e+04,9.000e+01,6.696e+01,2.714e+04
25.5,3.083e+04,1.134e+02,5.988e+01,3.101e+04
27.1,3.686e+04,1.214e+02,5.819e+01,3.704e+04
28.7,4.502e+04,1.539e+02,7.532e+01,4.524e+04
30.3,5.843e+04,2.203e+02,1.282e+02,5.878e+04
31.9,8.304e+04,3.972e+02,2.877e+02,8.373e+04
33.5,1.207e+05,1.459e+03,1.028e+03,1.232e+05
35.1,1.771e+05,4.192e+03,3.004e+03,1.843e+05
36.7,3.209e+05,1.997e+04,1.446e+04,3.553e+05
38.3,5.767e+05,1.203e+05,7.594e+04,7.729e+05
39.9,6.477e+05,2.575e+05,1.400e+05,1.045e+06
41.5,6.126e+05,3.096e+05,1.376e+05,1.060e+06
43.1,4.407e+05,3.042e+05,1.087e+05,8.536e+05
44.7,2.407e+05,2.481e+05,7.028e+04,5.591e+05
46.3,1.134e+05,1.555e+05,3.400e+04,3.029e+05
47.9,4.720e+04,7.436e+04,1.199e+04,1.336e+05
49.5,1.802e+04,4.913e+04,5.416e+03,7.257e+04
51.0,6.804e+03,4.090e+04,2.748e+03,5.045e+04
52.6,2.255e+03,2.813e+04,9.401e+02,3.133e+04
54.2,7.745e+02,2.023e+04,3.355e+02,2.134e+04
55.8,9.134e+02,1.925e+04,2.923e+02,2.046e+04
57.4,2.506e+03,2.156e+04,3.914e+02,2.445e+04
59.0,5.641e+03,2.786e+04,7.225e+02,3.422e+04
60.6,9.017e+03,3.340e+04,1.366e+03,4.379e+04
62.2,1.241e+04,3.563e+04,3.009e+03,5.105e+04
63.8,1.949e+04,4.121e+04,8.253e+03,6.895e+04
65.4,2.800e+04,4.623e+04,1.638e+04,9.061e+04
67.0,2.605e+04,3.913e+04,1.861e+04,8.379e+04
68.6,1.629e+04,2.289e+04,1.512e+04,5.430e+04
70.2,8.326e+03,1.237e+04,1.015e+04,3.084e+04
71.8,5.240e+03,7.687e+03,6.180e+03,1.911e+04
73.4,7.441e+03,8.645e+03,4.172e+03,2.026e+04
75.0,1.141e+04,9.158e+03,2.542e+03,2.311e+04
76.6,1.753e+04,8.064e+03,1.219e+03,2.682e+04
78.2,2.833e+04,8.824e+03,8.715e+02,3.802e+04
79.8,5.080e+04,1.356e+04,1.222e+03,6.558e+04
81.4,9.372e+04,2.252e+04,2.170e+03,1.184e+05
83.0,1.556e+05,3.672e+04,3.392e+03,1.957e+05
84.5,2.429e+05,5.978e+04,5.130e+03,3.078e+05
86.1,3.741e+05,9.752e+04,7.969e+03,4.796e+05
87.7,5.252e+05,1.122e+05,1.086e+04,6.483e+05
89.3,7.051e+05,9.072e+04,1.379e+04,8.096e+05
