freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.175e+01,1.884e+02,3.998e+01,2.402e+02
1.6,1.428e+01,1.103e+02,3.567e+01,1.603e+02
3.2,8.959e+00,2.662e+01,1.913e+01,5.471e+01
4.8,8.997e+00,4.665e+02,1.964e+01,4.951e+02
6.4,1.041e+01,1.544e+03,4.227e+01,1.596e+03
8.0,1.137e+01,1.926e+03,8.572e+01,2.023e+03
9.6,1.088e+01,2.389e+03,7.397e+01,2.473e+03
11.2,1.280e+01,3.624e+03,5.822e+01,3.695e+03
12.8,1.627e+01,5.419e+03,5.475e+01,5.490e+03
14.4,1.896e+01,7.908e+03,6.251e+01,7.990e+03
16.0,2.049e+01,1.087e+04,8.975e+01,1.098e+04
17.6,2.095e+01,1.457e+04,1.303e+02,1.472e+04
19.2,3.014e+01,1.995e+04,1.459e+02,2.013e+04
20.8,8.585e+01,2.633e+04,2.029e+02,2.662e+04
22.4,2.199e+02,3.331e+04,2.160e+02,3.375e+04
24.0,3.334e+02,4.454e+04,2.888e+02,4.516e+04
25.6,3.114e+02,5.491e+04,5.522e+02,5.578e+04
27.2,1.346e+02,5.665e+04,1.023e+03,5.781e+04
28.8,3.225e+01,4.784e+04,1.633e+03,4.951e+04
30.3,6.695e+01,4.504e+04,2.080e+03,4.718e+04
31.9,1.838e+02,6.047e+04,2.494e+03,6.315e+04
33.5,4.076e+02,9.125e+04,4.467e+03,9.612e+04
35.1,1.137e+03,1.360e+05,1.126e+04,1.484e+05
36.7,3.145e+03,2.144e+05,2.886e+04,2.464e+05
38.3,5.298e+03,2.495e+05,4.523e+04,3.000e+05
39.9,5.637e+03,2.124e+05,3.723e+04,2.553e+05
41.5,7.677e+03,2.418e+05,3.030e+04,2.798e+05
43.1,1.214e+04,2.965e+05,3.100e+04,3.396e+05
44.7,1.804e+04,2.502e+05,2.947e+04,2.977e+05
46.3,2.649e+04,1.615e+05,2.387e+04,2.119e+05
47.9,2.289e+04,8.033e+04,1.791e+04,1.211e+05
49.5,1.179e+04,3.041e+04,1.838e+04,6.058e+04
51.1,1.317e+04,2.629e+04,5.676e+04,9.622e+04
52.7,1.300e+04,3.252e+04,1.295e+05,1.750e+05
54.3,7.179e+03,2.311e+04,1.120e+05,1.423e+05
55.9,5.450e+03,2.037e+04,7.255e+04,9.837e+04
57.5,6.763e+03,2.357e+04,4.877e+04,7.910e+04
59.1,1.906e+04,2.773e+04,3.614e+04,8.292e+04
60.7,3.925e+04,4.579e+04,2.729e+04,1.123e+05
62.3,3.154e+04,5.729e+04,1.483e+04,1.037e+05
63.9,1.840e+04,6.183e+04,7.254e+03,8.749e+04
65.5,1.007e+04,6.454e+04,7.601e+03,8.221e+04
67.1,4.911e+03,6.101e+04,1.762e+04,8.354e+04
68.7,2.528e+03,4.438e+04,3.409e+04,8.100e+04
70.3,3.725e+03,2.524e+04,3.896e+04,6.792e+04
71.9,6.976e+03,1.522e+04,3.628e+04,5.847e+04
